Ticker,Close,成交量(張)
1597.TW,150.5,1235
2049.TW,332.0,1759
2317.TW,256.0,61844
2328.TW,51.2,4243
2345.TW,2375.0,3024
2355.TW,55.9,6177
2360.TW,2160.0,2870
2368.TW,1255.0,7055
2451.TW,294.0,5635
2465.TW,78.5,1246
2486.TW,255.0,8004
2606.TW,61.4,3513
3036.TW,219.0,7150
3135.TW,192.0,1762
3209.TW,61.2,1630
3605.TW,76.6,2012
3661.TW,4330.0,1227
3702.TW,106.5,3737
4540.TW,60.1,1431
4576.TW,219.0,1358
5522.TW,71.5,4385
6278.TW,201.5,4065
6285.TW,255.0,8889
6669.TW,4605.0,1360
6706.TW,160.0,1948
8210.TW,1325.0,1078
